stock_code,stock_name,current_price,ma10,ma20,ma60,vol_ma5,vol_ma20,day_change,month_change,score,selected,conditions,conditions_passed,reasons,data_count
000725,京东方A,8.38,7.895999999999999,7.0455,5.347833333333332,4754347573.6,3858592045.3,-7.912087912087895,30.326594090202196,111.3397949325272,True,"[True, True, True]",3,"['价格在MA20附近 (8.38 > 6.48)', '成交量放大 1.23倍', '趋势向上: MA10 > MA20, MA20 > MA60, 价格 > MA60']",82
300852,四会富仕,68.26,64.916,59.84349999999999,52.042833333333334,18120576.0,12651091.25,-5.96500895440143,34.5024630541872,106.23223818841531,True,"[True, True, True]",3,"['价格在MA20附近 (68.26 > 55.06)', '成交量放大 1.43倍', '趋势向上: MA10 > MA20, MA20 > MA60, 价格 > MA60']",82
600601,方正科技,15.12,13.835999999999999,13.4005,12.458,366190525.6,281287857.8,1.3404825737265424,21.739130434782595,104.27355915877348,True,"[True, True, True]",3,"['价格在MA20附近 (15.12 > 12.33)', '成交量放大 1.30倍', '趋势向上: MA10 > MA20, MA20 > MA60, 价格 > MA60']",82
600176,中国巨石,70.9,67.99,55.855000000000004,42.10350000000001,214990223.8,198790346.4,4.541433205544099,91.82900432900433,103.678910304369,True,"[True, True, True]",3,"['价格在MA20附近 (70.90 > 51.39)', '成交量放大 1.08倍', '趋势向上: MA10 > MA20, MA20 > MA60, 价格 > MA60']",82
001389,广合科技,203.0,205.47200000000004,196.23900000000003,177.00833333333333,14014849.6,10707210.45,3.1504065040650397,16.653258246178602,97.93677322159974,True,"[True, True, True]",3,"['价格在MA20附近 (203.00 > 180.54)', '成交量放大 1.31倍', '趋势向上: MA10 > MA20, MA20 > MA60, 价格 > MA60']",82
603065,宿迁联盛,18.8,19.25,15.879,10.718333333333334,41749203.6,42805059.45,-2.185223725286156,96.85863874345549,95.0800808583424,True,"[True, False, True]",2,"['价格在MA20附近 (18.80 > 14.61)', '成交量未明显放大 (0.98倍)', '趋势向上: MA10 > MA20, MA20 > MA60, 价格 > MA60']",82
301511,德福科技,153.1,149.308,146.7895,104.32950000000002,39772658.8,39392747.95,5.143877480942227,28.117154811715483,94.34932114119208,True,"[True, False, True]",2,"['价格在MA20附近 (153.10 > 135.05)', '成交量未明显放大 (1.01倍)', '趋势向上: MA10 > MA20, MA20 > MA60, 价格 > MA60']",82
300285,国瓷材料,90.73,97.36800000000001,82.0745,54.803666666666665,113675910.4,137254456.2,-2.2200668175449967,39.19914084074869,93.11092323506335,True,"[True, False, True]",2,"['价格在MA20附近 (90.73 > 75.51)', '成交量未明显放大 (0.83倍)', '趋势向上: MA10 > MA20, MA20 > MA60, 价格 > MA60']",82
002859,洁美科技,93.27,101.148,93.23700000000001,67.39533333333334,31737229.4,31368460.25,-5.702153472854111,7.751848428835473,92.67847427616155,True,"[True, False, True]",2,"['价格在MA20附近 (93.27 > 85.78)', '成交量未明显放大 (1.01倍)', '趋势向上: MA10 > MA20, MA20 > MA60, 价格 > MA60']",82
600110,诺德股份,15.75,15.425,14.506,11.866333333333333,199541409.2,198278368.25,8.396421197522375,39.50398582816652,91.54568948565971,True,"[True, False, True]",2,"['价格在MA20附近 (15.75 > 13.35)', '成交量未明显放大 (1.01倍)', '趋势向上: MA10 > MA20, MA20 > MA60, 价格 > MA60']",82
