date,p_open,p_high,p_low,volume,b_id,b_name,id,platform,quote_rate,p_close,p_prev_close,turnover,trade_date
2018-07-09,822.366,840.016,822.366,28193000000.0,883957,同花顺全A,3479,1,2.2845,840.001,821.24,325063000000.0,20180709
2018-07-10,840.67,848.007,838.373,27916400000.0,883957,同花顺全A,3480,1,0.9521,847.999,840.001,324813000000.0,20180710
2018-07-11,835.706,835.706,814.267,30474500000.0,883957,同花顺全A,3481,1,-2.5288,826.555,847.999,340821000000.0,20180711
2018-07-12,825.346,851.285,825.346,35771300000.0,883957,同花顺全A,3482,1,2.7644,849.404,826.555,415500000000.0,20180712
2018-07-13,849.288,853.429,847.589,30312500000.0,883957,同花顺全A,3483,1,0.2769,851.756,849.404,365531000000.0,20180713
2018-07-16,849.947,852.442,846.159,27348400000.0,883957,同花顺全A,3484,1,-0.0095,851.675,851.756,324058000000.0,20180716
2018-07-17,850.315,854.289,843.825,26234800000.0,883957,同花顺全A,3485,1,0.3061,854.282,851.675,306364000000.0,20180717
2018-07-18,854.56,860.67,850.37,29572900000.0,883957,同花顺全A,3486,1,-0.4579,850.37,854.282,336813000000.0,20180718
2018-07-19,848.748,852.207,836.795,27575500000.0,883957,同花顺全A,3487,1,-1.2277,839.93,850.37,310601000000.0,20180719
2018-07-20,838.218,851.643,833.887,31467200000.0,883957,同花顺全A,3488,1,1.1989,850.0,839.93,347568000000.0,20180720
2018-07-23,846.094,856.372,843.795,37277600000.0,883957,同花顺全A,3489,1,0.7489,856.366,850.0,410771000000.0,20180723
2018-07-24,856.333,872.294,855.946,47364700000.0,883957,同花顺全A,3490,1,1.8198,871.95,856.366,492531000000.0,20180724
2018-07-25,872.044,876.027,870.6,37925000000.0,883957,同花顺全A,3491,1,0.1687,873.421,871.95,396462000000.0,20180725
2018-07-26,872.929,876.07,870.167,39717500000.0,883957,同花顺全A,3492,1,-0.1248,872.331,873.421,380072000000.0,20180726
2018-07-27,871.149,872.884,865.705,33474000000.0,883957,同花顺全A,3493,1,-0.6002,867.095,872.331,310373000000.0,20180727
2018-07-30,864.94,866.898,849.663,32911700000.0,883957,同花顺全A,3494,1,-1.5585,853.581,867.095,326106000000.0,20180730
2018-07-31,851.864,856.988,850.665,26292000000.0,883957,同花顺全A,3495,1,0.1716,855.046,853.581,269157000000.0,20180731
2018-08-01,856.077,860.212,840.994,32103900000.0,883957,同花顺全A,3496,1,-1.6434,840.994,855.046,327409000000.0,20180801
2018-08-02,837.172,837.172,798.991,38467500000.0,883957,同花顺全A,3497,1,-2.7661,817.731,840.994,378914000000.0,20180802
2018-08-03,815.466,820.04,808.085,27924500000.0,883957,同花顺全A,3498,1,-1.1796,808.085,817.731,284409000000.0,20180803
2018-08-06,804.95,809.733,786.804,28802200000.0,883957,同花顺全A,3499,1,-2.0481,791.535,808.085,290575000000.0,20180806
2018-08-07,792.297,813.062,787.36,32095000000.0,883957,同花顺全A,3500,1,2.7191,813.058,791.535,316336000000.0,20180807
